"","participant","protocol","trial","trajectory_id","practice_trials.thisN","noise_present","no_targets","trials.thisN","mouse.x.firstBadClick","mouse.y.firstBadClick","mouse.x","mouse.y","obj0finalX","obj0finalY","obj0penultimateX","obj0penultimateY","obj0preantepenultimateY","obj0preantepenultimateX","obj0antepenultimateX","obj0antepenultimateY","timingHiccupsInLastFramesOfStimuli","win.nDroppedFrames","finalStimFrameTimes","RT","anyHiccupsLastFrames","avgDurLastFrames","dx","dy","finalDirection","finalSpeed","xErr","yErr","euclidean_dist","amountExtrapolation","temporal_error","isOutlier","eccentricity","eccentricity_deg","velocityToFovea"
"1","P5",4,701,878,NA,"Dynamic","4",0,"nan","nan",-158,165,-132.468524530325,82.2139810956521,-133.956629592927,88.5602491636829,101.640737764748,-137.023808776014,-135.518892226653,95.2227743545826,0,0,"[16.38977701 16.78246498 16.53397002 16.57794698 17.17194699 16.55867201
 16.365544   16.73160601 16.75080901 16.81186497 16.27940702 17.103711
 16.34625898 17.05464101 16.27640001 16.91901698 16.678863   16.82853501
 16.701168   16.08853199 16.972415   16.45030698 17.18061802 16.15201801
 16.67812598 16.858427   16.46998801 17.07507801 16.33360199 16.81407201
 16.480408   16.65100301 16.849974   16.42571998 16.95565102 16.47490598
 16.94929    16.44808202 16.89640697]",5.78463517551427,FALSE,16.6683904351282,4.55528424568905,-19.4267566690957,-76.8034117016941,399.032401647074,-25.5314754696754,82.7860189043479,2.07920647157449,-2.07428403577777,-0.216595196615593,FALSE,155.907179689832,3.74177231255596,-6.79078136257608
"2","P5",4,702,951,NA,"Static","1",1,"nan","nan",-554,276,-603.24056746415,230.314499209562,-596.688263900356,231.93038178176,235.124865277599,-583.734831544314,-590.311737996787,233.502915315719,0,0,"[16.89640697 16.58748998 16.47098002 16.60457399 16.70304401 16.74305799
 16.731146   16.538911   16.69645502 16.575035   16.91367698 16.76688599
 16.62243801 16.48194599 16.65765201 16.934429   16.34180298 16.814084
 16.77137802 16.62750298 16.75190701 16.33259299 16.72907601 16.91271699
 16.37186602 16.83640698 16.77902299 16.36032801 16.87810401 16.745036
 16.74393    16.66741198 16.64363302 16.29361199 16.782419   16.60599999
 16.81792401 16.548463   16.74790599 16.579938  ]",4.86028773005819,FALSE,16.66517974825,-19.5057359198353,-4.81036606803738,-166.146552544087,401.838466021999,49.2405674641498,45.6855007904382,1.61207813607121,-1.40993107531171,-0.146195879950357,FALSE,645.711971997284,15.4970873279348,7.88780336161604
"3","P5",4,703,984,NA,"Static","1",2,"nan","nan",173,76,182.03589849113,53.3355272221657,188.532515825206,51.7849724265388,55.2901995923377,201.399762794453,194.945545562675,53.5319759700768,0,0,"[16.579938   16.770282   16.65291699 16.665459   16.96900302 16.48157497
 16.93367201 16.855831   16.116012   16.61036399 16.712991   16.71689801
 16.64754801 16.55261699 16.812702   16.93468    16.553447   16.52663201
 16.846062   16.698508   16.31065799 16.75014    16.71207501 16.80128899
 16.57952101 16.73549099 16.32260799 16.86898401 17.11742501 16.37451799
 16.69863402 16.60762899 16.78257599 16.62722701 16.34430999 16.665334
 16.71859302 16.62178198 16.82367301 16.46382399]",4.64388287210022,FALSE,16.66408572475,-19.3638643033228,-1.954672370172,-174.235841285893,389.305702596144,-9.03589849113041,22.6644727778343,0.585583174105424,0.161134282636833,0.0172459031512473,FALSE,189.688552115143,4.55252525076344,-9.43722136017231
"4","P5",4,704,87,NA,"Static","4",3,"nan","nan",337,-307,391.947516053331,-262.634897013835,396.436107090177,-257.737873337012,-247.887843922271,405.464602082539,400.912212888559,-252.854470974287,0,0,"[16.46382399 16.49915799 16.76299999 16.890217   16.330371   16.74111901
 16.54617701 16.36854699 16.85477802 16.67207998 16.69195501 17.08672999
 16.22844601 16.61010701 16.997125   16.49252701 16.49268999 16.692815
 18.29400699 15.180063   16.50394901 16.889894   16.41628999 16.62283801
 16.824683   16.49784399 17.16224602 16.293444   16.76178098 16.46173402
 17.08288401 16.39601099 16.63814799 16.77451399 16.67814102 16.468238
 16.84117498 16.50458801 16.66286401 16.98939898]",4.26450965108234,FALSE,16.65916002475,-13.5170860292082,-14.7470530915632,-132.508238721639,400.273866610892,-54.9475160533312,-44.3651029861655,1.69493224786149,1.67598968293866,0.174462809793332,FALSE,471.804985634789,11.3233196552349,-1.44930819433315
"5","P5",4,705,440,NA,"Dynamic","4",4,"nan","nan",190,-263,123.176963075012,-231.805546137826,125.688403722321,-238.02687608552,-250.513921862832,130.729202810879,128.241498582701,-244.351391670311,0,0,"[16.98939898 16.789863   16.615951   16.63492399 17.24215501 16.412542
 17.20493898 16.01745802 16.63618098 16.52161102 17.09926699 16.43126502
 16.44449699 16.71707199 16.51920701 16.78981099 16.645786   16.88323301
 16.67574298 16.44913401 16.75039198 16.55412003 16.97165897 16.72883303
 16.87749699 16.07177799 16.78339799 16.41842202 16.86118697 16.80853002
 16.80339    16.279929   17.10713    16.47034899 16.511686   16.72513701
 16.616462   17.00845599 16.629238   16.38491399]",4.42608782407478,FALSE,16.6770636235,-7.55223973586662,18.7083757250067,111.983056683093,403.252915803562,66.8230369249879,-31.1944538621742,1.76989418785623,-1.29457141657033,-0.133763386640226,FALSE,262.500238957298,6.30000573497515,-9.54737074986492
"6","P5",4,706,53,NA,"Dynamic","4",5,"nan","nan",136,-169,55.6465549290164,-116.900240981397,59.9873997735446,-117.008468618475,-117.224618008801,73.2091014857229,66.5634390847617,-117.115974211842,0,0,"[16.38491399 16.67866399 16.32318401 17.29864199 16.25085599 17.052154
 16.385105   16.53185501 16.704979   16.84410998 16.415291   16.808235
 16.72137302 16.595625   16.47930901 16.77775598 17.151657   16.16815702
 16.522424   16.80615998 16.93703802 16.24857498 16.83687602 16.53649998
 16.693632   16.730748   16.59108201 16.61960999 16.96884201 16.837801
 16.33190399 17.322364   15.97502202 17.01299599 16.29195601 16.902662
 16.71293    16.56527299 16.54415901 16.878533  ]",4.67631333807367,FALSE,16.66097382475,-17.5625465567065,0.324377027404097,178.941877726091,351.430876295452,80.3534450709836,-52.0997590186026,2.29837576348027,-1.9512444448363,-0.231345215665762,FALSE,129.468936108152,3.10725446659566,-4.28550604659317
"7","P5",4,707,622,NA,"Dynamic","1",6,"nan","nan",-492,365,-490.21359676534,391.167266088487,-484.312418121339,387.882383930715,381.380725384081,-472.632410521917,-478.485630336859,384.638911332267,0,0,"[16.878533   16.47751799 16.86178602 16.744553   16.46943501 16.99874
 16.34444398 16.70710399 16.65000702 16.790756   16.59057199 16.66582102
 16.69934398 16.825823   16.310006   16.84460501 16.641152   16.5844
 17.15139698 16.10366901 16.80563201 16.808574   16.89430399 16.54156501
 16.26383499 16.77783701 16.77021099 16.62942799 16.545227   17.02814602
 16.36588501 16.62636499 16.673654   16.644652   16.817639   16.55528301
 16.74685397 16.669025   16.768156   16.52212601]",5.50450508607901,FALSE,16.669851575,-17.5811862434227,9.78654070440609,150.897566741332,402.352976602482,-1.7864032346605,-26.167266088487,0.629476148405952,-0.267987976199743,-0.0277521637077916,FALSE,627.153251217557,15.0516780292214,9.46873476857029
"8","P5",4,708,761,NA,"Static","1",7,"-235.0","-109.0",-235,-109,-220.457059626724,-74.6859945704523,-217.060590913372,-80.4532466913573,-91.8948833830342,-210.322345343708,-213.75794696965,-86.0611830206818,0,0,"[16.52212601 16.71404898 16.846382   16.37885501 16.69274899 16.87139602
 16.383351   16.98999098 16.682293   16.49382201 16.60388199 16.58505699
 16.780039   16.633302   16.62777099 16.60552403 16.73749398 16.67515302
 16.891287   16.28469699 16.74272699 16.85307801 16.57854801 16.88425601
 16.36921699 16.89349901 16.43384798 16.92910201 16.41791    16.760261
 16.54336299 16.664547   16.72229802 16.98048299 16.29956398 16.74145102
 16.74045398 16.45451301 16.72541001 16.61210999]",5.22004436710267,FALSE,16.65864647475,-10.134714283016,17.2088888125819,120.494819086083,399.621038198041,-14.5429403732763,-34.3140054295477,0.894446251035882,-0.532501327518703,-0.0555214895925569,FALSE,232.764500996691,5.58634802392058,1.95981143564588
"9","P5",4,709,293,NA,"Static","1",8,"nan","nan",-149,200,-152.003537998732,203.824148647508,-152.713971872354,210.413029105202,223.666424853972,-154.1429948059,-153.397924500828,216.756310689979,1,1,"[16.61210999 16.28907802 16.66721998 16.793691   16.66435701 16.44478299
 16.95128999 16.713013   16.55243701 18.361761   14.84426099 16.775797
 16.569781   16.93568801 16.570368   16.489581   17.122082   16.38519199
 16.42261501 16.88553698 16.701085   16.685337   16.54872901 16.72780901
 16.71235199 16.84811301 16.411655   16.90598897 16.68638602 16.40608298
 17.03474601 16.321854   16.72108599 16.47042701 17.37995    15.97359098
 17.309808   15.99759801 16.59567902 16.656252  ]",3.81485677408637,TRUE,16.6536292745,2.13945680716714,-19.8422762064643,-83.8459634408355,399.458161492619,3.00353799873247,-3.824148647508,0.116703571288657,0.0989783001335945,0.0103242247535753,FALSE,254.262382463497,6.10229717912392,-8.26653292857442
"10","P5",4,710,744,NA,"Dynamic","4",9,"nan","nan",198,230,205.210267403427,158.93811133743,204.277729341841,165.469875252033,178.624696940978,202.399619220486,203.346849553805,171.990024143312,0,1,"[16.656252   17.212095   16.28634401 16.54013799 16.52840301 16.78873799
 16.994262   16.62385502 16.26833598 16.745172   16.66525201 16.643123
 16.88771698 16.350135   16.952053   16.89903499 16.227118   16.747947
 16.67339401 16.70546699 16.61150501 16.707701   16.71573601 16.523967
 16.69131199 16.77966199 16.61935099 16.67590602 16.553711   16.98314198
 16.41152502 17.06298298 16.496383   16.53512599 16.53888801 16.86003801
 16.73049    16.574337   16.51305999 17.05072299]",6.4531010290957,FALSE,16.675759549,2.81064818294189,-19.6865856035474,-81.8748068623244,397.507354765447,-7.21026740342748,71.0618886625696,1.71424189260458,-1.71282277746798,-0.179537849733481,FALSE,259.562279777505,6.22949471466011,-4.74665900406488
