"","participant","protocol","trial","trajectory_id","practice_trials.thisN","noise_present","no_targets","trials.thisN","mouse.x.firstBadClick","mouse.y.firstBadClick","mouse.x","mouse.y","obj0finalX","obj0finalY","obj0penultimateX","obj0penultimateY","obj0preantepenultimateY","obj0preantepenultimateX","obj0antepenultimateX","obj0antepenultimateY","timingHiccupsInLastFramesOfStimuli","win.nDroppedFrames","finalStimFrameTimes","line_orientation","RT","anyHiccupsLastFrames","avgDurLastFrames","dx","dy","finalDirection","finalSpeed","xErr","yErr","euclidean_dist","amountExtrapolation","temporal_error","isOutlier","eccentricity","eccentricity_deg","velocityToFovea"
"1","P4",9,901,570,NA,"Static","1",0,"nan","nan",133,-224,154.296879484704,-240.726801119751,161.165401116067,-240.389214626992,-239.71965997435,174.788133996938,168.070006403405,-240.049854629609,12,12,"[17.73874206 20.79940098 18.97962298 20.81876202 23.25258893 18.04200001
 23.30800798 19.6428122  18.10681983 21.605646   17.86664315 19.48147197
 18.70718994 19.36744293 21.90851001 19.8677911  21.36863093 18.10257998
 20.17627703 17.91125908 20.67370387 19.22501298 18.64733105 19.64381407
 21.82819997 20.09814512 21.79931197 19.3055789  17.26538804 15.73673007
 16.52024081 17.70911901 17.11927005 16.76707109]","Upper/Lower",5.15165247139521,TRUE,19.3938563561765,-20.4912545122341,-1.00714114540133,-177.186187980697,352.620087534965,-21.2968794847044,16.7268011197509,0.649927334442686,0.490801793510067,0.0579946391385272,FALSE,285.931669802534,6.86236007526082,-4.77742466308717
"2","P4",9,902,755,NA,"Dynamic","2",1,"nan","nan",-116,337,-42.8151867339891,352.887453271227,-32.5772925646293,354.462902692349,357.471010279872,-13.0294183401571,-21.9590894539912,356.096875623431,26,35,"[19.64381407 21.82819997 20.09814512 21.79931197 19.3055789  17.26538804
 15.73673007 16.52024081 17.70911901 17.11927005 16.76707109 21.57367882
 20.32389422 24.49336485 24.70756113 23.71928282 19.46087019 24.82001786
 22.90935512 25.87295393 18.15428794 20.7806211  16.20073593 20.50861204
 18.51976593 18.30466301 15.87906503 21.38378401 20.78601997 23.28128507
 24.72276497 25.1727479  24.52124003 26.89983998 20.70746105 23.36233994
 22.847577   26.14470199 26.81081998 27.74442011]","Upper/Lower",4.98153557954356,TRUE,21.3601650255,-29.7857683938319,-4.58355700864564,-171.251712273806,470.289332668242,-73.1848132660109,-15.8874532712268,1.79734653447641,1.79399446038299,0.158944215805455,FALSE,355.475308413002,8.53140740191204,-0.306652422987508
"3","P4",9,903,398,NA,"Static","1",2,"nan","nan",187,111,198.691470103628,161.589712097577,197.526743892231,170.367626140131,186.052544459146,195.445539245977,196.517162796147,177.976295021883,22,49,"[24.52124003 26.89983998 20.70746105 23.36233994 22.847577   26.14470199
 26.81081998 27.74442011 18.00276502 20.08684119 20.86311998 17.6538208
 19.46340315 18.25544704 16.39575884 15.92014614 16.70017489 20.10959317
 22.41251199 21.61326399 25.68090684 26.60559211 21.81909489 19.61636799
 19.09745298 22.16945612 20.34362592 20.88118298 18.01239001 23.606929
 17.62131811 16.731838   17.078751   19.85735307 18.45450001 19.74782581
 20.35433915 19.33083986 22.03607606 18.43499998]","Left/Right",5.27380357030779,TRUE,20.84990215425,3.24593085765093,-24.4628323615693,-82.4416736327112,394.522094772199,-11.6914701036284,-50.5897120975766,1.2461546610837,1.16669567584382,0.123218244227601,FALSE,256.104539881117,6.14650895714681,-5.02485204932067
"4","P4",9,904,677,NA,"Dynamic","1",3,"nan","nan",261,350,282.597235975977,371.420505026028,277.960415897871,367.340623836675,357.631273843617,266.925656084113,272.036840295066,362.128542222876,9,56,"[19.74782581 20.35433915 19.33083986 22.03607606 18.43499998 19.5804711
 17.48147095 18.2986029  19.23927618 15.98154381 21.27219597 25.76175006
 16.909956   18.69953494 17.02693501 18.96252809 17.44063711 20.17909498
 18.20236398 17.40717492 20.21246613 18.01284286 16.55982714 21.35446784
 17.00757002 16.5087271  19.99584003 17.73527381 21.44054417 18.66168482
 17.06791599 18.35649717 18.37843889 17.41755893 18.22351408 18.34812597
 17.06037996 19.45677516 15.79958992 17.94678508]","Upper/Lower",5.04149186634459,TRUE,18.69731104825,15.6715798918638,13.789231182411,41.3441524654626,372.146519045395,-21.5972359759772,-21.4205050260281,0.730041433842184,-0.72874092875213,-0.081592071430791,FALSE,466.705891686672,11.2009414004801,9.41093544877816
"5","P4",9,905,433,NA,"Dynamic","1",4,"nan","nan",-569,-325,-543.209679990693,-322.263636871086,-539.012837174643,-317.318239143456,-304.172794569008,-527.857138954895,-533.489971475723,-310.810307187323,17,73,"[18.35649717 18.37843889 17.41755893 18.22351408 18.34812597 17.06037996
 19.45677516 15.79958992 17.94678508 23.20857509 27.76231011 22.33936684
 21.6247451  17.01915683 28.75922318 16.85857796 24.46117508 19.30346689
 19.33708997 18.42292794 17.21706404 20.50128602 21.52457391 21.42010513
 22.88750792 20.07625811 20.041632   18.36027601 17.43009686 18.75355816
 18.35114392 20.26525605 18.97778106 16.90758392 20.77276399 19.43913195
 21.47118398 21.53702709 16.63432503 20.543508  ]","Left/Right",5.46786368242465,TRUE,19.8299085825,-15.3525410357983,-18.0908423020782,-130.31913690269,398.845012951679,-25.7903200093066,-2.73636312891392,0.62244188055504,0.450571928320688,0.0470704903836163,FALSE,631.60953767733,15.1586289042559,9.07687056395788
"6","P4",9,906,155,NA,"Dynamic","2",5,"nan","nan",371,301,407.277604446454,323.53832079893,416.249536456011,321.54949179882,318.629080608797,429.423987670968,422.37511092643,320.191621483249,14,83,"[16.90758392 20.77276399 19.43913195 21.47118398 21.53702709 16.63432503
 20.543508   21.69449604 16.90738811 19.92033492 20.08807193 19.84535018
 24.53077398 17.69387187 20.36113804 18.83102511 19.102155   20.86536493
 16.36348991 21.19319304 18.70403206 19.27644596 17.70080905 17.91724493
 18.46763003 20.77417192 15.99740912 20.40874003 19.87567497 19.80290888
 19.26021907 17.77862501 22.5729181  18.13301281 16.33935911 18.53646804
 18.19156297 15.72627388 22.90579001 17.87305018]","Left/Right",4.22044536820613,TRUE,19.27361307875,-22.1463832245138,4.90924019013357,167.501220073904,392.314948563463,-36.2776044464542,-22.5383207989302,1.02501088850505,0.732963136127,0.0778459520438538,FALSE,520.146221854042,12.483509324497,-6.04640303213445
"7","P4",9,907,704,NA,"Static","2",6,"nan","nan",-479,120,-589.889606248908,139.477453765761,-587.695822398516,147.949474441574,162.536045913873,-583.9187087496,-585.879139959131,154.965193508477,15,97,"[18.13301281 16.33935911 18.53646804 18.19156297 15.72627388 22.90579001
 17.87305018 17.92474091 18.37391802 21.34533599 19.91025405 21.13286895
 20.1415231  22.40912686 18.00616016 21.58005093 18.17576005 21.67154802
 17.40820799 21.54359384 19.55852914 26.99176199 14.21202789 17.78847515
 20.127255   20.97222488 18.24364997 20.12040094 17.66920718 18.18433194
 20.12749296 17.42397994 26.1893312  12.68952596 16.97156788 18.88475195
 19.56817601 18.10476207 21.98291896 16.15295606]","Upper/Lower",5.34169504977763,TRUE,19.2322983235,-5.97089749930888,-23.0585921481118,-104.517559641972,412.831852554933,110.889606248908,-19.4774537657611,2.70209262684304,-0.214605253879633,-0.021659873197716,FALSE,606.154854529329,14.5477165087039,0.203473131162349
"8","P4",9,908,184,NA,"Static","2",7,"nan","nan",438,-42,569.262661669927,-49.0022593840441,569.420590522098,-40.6959406069942,-21.5015216440797,569.785535889144,569.577934599852,-32.4203782284286,17,112,"[17.42397994 26.1893312  12.68952596 16.97156788 18.88475195 19.56817601
 18.10476207 21.98291896 16.15295606 17.89425313 21.64187282 16.58490114
 24.64831085 17.15163304 18.52412103 19.6364799  16.74077613 20.90246696
 18.8676801  16.47455292 19.30895797 19.08468595 19.12109507 22.65224303
 16.84777299 25.18108394 19.83693312 23.25968794 24.82746495 20.03907505
 23.57421396 19.17388011 28.05064479 16.66858117 28.805512   18.21352192
 27.06852509 20.95799404 20.72493499 23.99446978]","Left/Right",3.81299000256695,TRUE,20.36065739775,-0.522874219216988,-27.5007377399643,-91.0892390257621,450.308119278769,-131.262661669927,7.00225938404409,3.1547831556938,-0.108137645103074,-0.010005893786336,FALSE,571.3678319579,13.7128279669896,0.641356323411256
"9","P4",9,909,678,NA,"Static","1",8,"-209.0","-281.0",-209,-281,-210.158053834502,-343.204052840692,-207.324049725533,-333.34553385548,-318.288140203243,-202.995537953654,-205.573376779696,-327.255548869638,17,124,"[16.66858117 28.805512   18.21352192 27.06852509 20.95799404 20.72493499
 23.99446978 19.35723401 18.91686092 15.92947217 18.57568184 17.81764603
 20.27114201 19.43353517 15.86894481 18.57818197 18.89825519 19.9624158
 22.52833615 17.14696595 18.68209196 17.41669304 16.40807791 20.54256503
 20.10107413 16.05565194 22.27922599 17.67767011 23.64388993 21.55352989
 16.79867203 19.86732613 19.33983201 20.49811999 22.29267685 17.29381201
 22.81114808 16.61579497 24.29840295 21.31141815]","Upper/Lower",3.8959941372741,TRUE,19.88014710275,-7.16251588084825,-24.9159126374493,-106.038224967197,434.687848998564,1.15805383450177,62.2040528406924,1.49315595984176,-1.44246880068628,-0.138266728259663,FALSE,402.436863964749,9.65848473515398,9.2534162429644
"10","P4",9,910,987,NA,"Dynamic","2",9,"nan","nan",38,245,114.392041379012,295.811459667757,120.56790138217,299.350909730585,307.774256859219,135.265498947053,128.552997572682,303.92725200498,10,130,"[22.29267685 17.29381201 22.81114808 16.61579497 24.29840295 21.31141815
 16.00378705 23.73923594 17.09663519 19.92488489 18.4853361  18.01502286
 18.62351596 18.95913901 17.84706814 19.26231897 17.74811489 16.96635014
 19.59561487 17.52767805 21.30815201 18.55222601 16.62125904 19.96722794
 17.26161991 17.83617819 20.28365294 17.80231996 17.775035   18.54453003
 17.00141397 21.64093708 19.72497092 17.76818209 19.70763691 18.61314406
 19.29801702 22.95705001 18.12408003 20.26752685]","Upper/Lower",4.03353651822545,TRUE,19.136827876,-20.8734575680409,-11.9627971914615,-150.182526195422,419.060486406065,-76.3920413790123,-50.8114596677572,2.20193276230261,2.19706107119905,0.218451069164405,FALSE,317.159201035737,7.61182082485768,-7.45630303204851
